"","Country","Country_ISO3","Year","Indicator_Name","Indicator_Code","Value"
"1","Kenya","KEN",2022,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",39863721.7727004
"2","Kenya","KEN",2021,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",42251397.3880097
"3","Kenya","KEN",2020,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",76192114.5206537
"4","Kenya","KEN",2019,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",121644123.28036
"5","Kenya","KEN",2018,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",131726255.172434
"6","Kenya","KEN",2017,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",206821952.087503
"7","Kenya","KEN",2016,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",144483967.26609
"8","Kenya","KEN",2015,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",146182787.706661
"9","Kenya","KEN",2014,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",147498189.741738
"10","Kenya","KEN",2013,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",77528527.6736665
"11","Kenya","KEN",2012,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",31781529.1229183
"12","Kenya","KEN",2011,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",15092764.091979
"13","Kenya","KEN",2010,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",17804542.2862949
"14","Kenya","KEN",2009,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",21238102.9426873
"15","Kenya","KEN",2008,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",28437309.7981482
"16","Kenya","KEN",2007,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",23566334.8299749
"17","Kenya","KEN",2006,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",19722101.6878337
"18","Kenya","KEN",2005,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",36900044.4878805
"19","Kenya","KEN",2004,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",50346909.8414109
"20","Kenya","KEN",2003,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",39191514.8825915
"21","Kenya","KEN",2002,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",42413135.2966069
"22","Kenya","KEN",2001,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",62162530.4317117
"23","Kenya","KEN",2000,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",77305180.523276
"24","Kenya","KEN",1999,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",50826564.6784639
"25","Kenya","KEN",1998,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",46834098.9320271
"26","Kenya","KEN",1997,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",67870509.1970979
"27","Kenya","KEN",1996,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",52106048.2793155
"28","Kenya","KEN",1995,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",64942812.051371
"29","Kenya","KEN",1994,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",87130007.1408723
"30","Kenya","KEN",1993,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",101528079.814257
"31","Kenya","KEN",1992,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",3352284.77866126
"32","Kenya","KEN",1991,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",3846172.48883955
"33","Kenya","KEN",1990,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",5978677.50489858
"34","Kenya","KEN",1989,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",4228953.26115487
"35","Kenya","KEN",1988,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"36","Kenya","KEN",1987,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",1823210.37973927
"37","Kenya","KEN",1986,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"38","Kenya","KEN",1985,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"39","Kenya","KEN",1984,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"40","Kenya","KEN",1983,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"41","Kenya","KEN",1982,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"42","Kenya","KEN",1981,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"43","Kenya","KEN",1980,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"44","Kenya","KEN",1979,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"45","Kenya","KEN",1978,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"46","Kenya","KEN",1977,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"47","Kenya","KEN",1976,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"48","Kenya","KEN",1975,"Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD",0
"49","Kenya","KEN",2022,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",73661978.8185346
"50","Kenya","KEN",2021,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",55479004.1664672
"51","Kenya","KEN",2020,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",43016838.3282969
"52","Kenya","KEN",2019,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",63052340.6758658
"53","Kenya","KEN",2018,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",71288309.8588931
"54","Kenya","KEN",2017,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",68571479.4519343
"55","Kenya","KEN",2016,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",65959474.6584199
"56","Kenya","KEN",2015,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",91720736.0157803
"57","Kenya","KEN",2014,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",59651853.1026503
"58","Kenya","KEN",2013,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",41727704.0198012
"59","Kenya","KEN",2012,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",32121764.962223
"60","Kenya","KEN",2011,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",55003126.3279508
"61","Kenya","KEN",2010,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",53797178.432263
"62","Kenya","KEN",2009,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",19483268.1818566
"63","Kenya","KEN",2008,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",32831073.3659562
"64","Kenya","KEN",2007,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",23041658.0738654
"65","Kenya","KEN",2006,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",9889483.24694649
"66","Kenya","KEN",2005,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",17501232.0256387
"67","Kenya","KEN",2004,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",16631622.2655567
"68","Kenya","KEN",2003,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",11643555.2728272
"69","Kenya","KEN",2002,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",9943448.06086246
"70","Kenya","KEN",2001,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",5025533.90299364
"71","Kenya","KEN",2000,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",7066730.1895348
"72","Kenya","KEN",1999,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",10139035.3952876
"73","Kenya","KEN",1998,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",21904294.9175622
"74","Kenya","KEN",1997,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",22420376.4539423
"75","Kenya","KEN",1996,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",15480382.8075119
"76","Kenya","KEN",1995,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",15225365.3035365
"77","Kenya","KEN",1994,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",7044031.2164505
"78","Kenya","KEN",1993,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",9281028.02234432
"79","Kenya","KEN",1992,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",6952886.94833447
"80","Kenya","KEN",1991,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",11065925.383769
"81","Kenya","KEN",1990,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",9426236.06611747
"82","Kenya","KEN",1989,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",12103555.8853743
"83","Kenya","KEN",1988,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"84","Kenya","KEN",1987,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",8265220.38815134
"85","Kenya","KEN",1986,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"86","Kenya","KEN",1985,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"87","Kenya","KEN",1984,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"88","Kenya","KEN",1983,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"89","Kenya","KEN",1982,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"90","Kenya","KEN",1981,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"91","Kenya","KEN",1980,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"92","Kenya","KEN",1979,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"93","Kenya","KEN",1978,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"94","Kenya","KEN",1977,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"95","Kenya","KEN",1976,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"96","Kenya","KEN",1975,"Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD",0
"97","Kenya","KEN",2022,"Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",0.410189986228943
"98","Kenya","KEN",2010,"Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",0.692219972610474
"99","Kenya","KEN",2007,"Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS",0.35521000623703
"100","Kenya","KEN",2020,"Scientific and technical journal articles","IP.JRN.ARTC.SC",1753.08
"101","Kenya","KEN",2019,"Scientific and technical journal articles","IP.JRN.ARTC.SC",1427.56
"102","Kenya","KEN",2018,"Scientific and technical journal articles","IP.JRN.ARTC.SC",1306.44
"103","Kenya","KEN",2017,"Scientific and technical journal articles","IP.JRN.ARTC.SC",1178.07
"104","Kenya","KEN",2016,"Scientific and technical journal articles","IP.JRN.ARTC.SC",1093.03
"105","Kenya","KEN",2015,"Scientific and technical journal articles","IP.JRN.ARTC.SC",994.46
"106","Kenya","KEN",2014,"Scientific and technical journal articles","IP.JRN.ARTC.SC",926.75
"107","Kenya","KEN",2013,"Scientific and technical journal articles","IP.JRN.ARTC.SC",853.29
"108","Kenya","KEN",2012,"Scientific and technical journal articles","IP.JRN.ARTC.SC",786.89
"109","Kenya","KEN",2011,"Scientific and technical journal articles","IP.JRN.ARTC.SC",827.56
"110","Kenya","KEN",2010,"Scientific and technical journal articles","IP.JRN.ARTC.SC",747.14
"111","Kenya","KEN",2009,"Scientific and technical journal articles","IP.JRN.ARTC.SC",699.14
"112","Kenya","KEN",2008,"Scientific and technical journal articles","IP.JRN.ARTC.SC",590.89
"113","Kenya","KEN",2007,"Scientific and technical journal articles","IP.JRN.ARTC.SC",544.75
"114","Kenya","KEN",2006,"Scientific and technical journal articles","IP.JRN.ARTC.SC",478.73
"115","Kenya","KEN",2005,"Scientific and technical journal articles","IP.JRN.ARTC.SC",457.17
"116","Kenya","KEN",2004,"Scientific and technical journal articles","IP.JRN.ARTC.SC",449.69
"117","Kenya","KEN",2003,"Scientific and technical journal articles","IP.JRN.ARTC.SC",423.62
"118","Kenya","KEN",2002,"Scientific and technical journal articles","IP.JRN.ARTC.SC",441.14
"119","Kenya","KEN",2001,"Scientific and technical journal articles","IP.JRN.ARTC.SC",404.9
"120","Kenya","KEN",2000,"Scientific and technical journal articles","IP.JRN.ARTC.SC",360.08
"121","Kenya","KEN",1999,"Scientific and technical journal articles","IP.JRN.ARTC.SC",362.13
"122","Kenya","KEN",1998,"Scientific and technical journal articles","IP.JRN.ARTC.SC",360.51
"123","Kenya","KEN",1997,"Scientific and technical journal articles","IP.JRN.ARTC.SC",409.19
"124","Kenya","KEN",1996,"Scientific and technical journal articles","IP.JRN.ARTC.SC",392.39
"125","Kenya","KEN",2021,"Patent applications, nonresidents","IP.PAT.NRES",37
"126","Kenya","KEN",2020,"Patent applications, nonresidents","IP.PAT.NRES",35
"127","Kenya","KEN",2019,"Patent applications, nonresidents","IP.PAT.NRES",41
"128","Kenya","KEN",2018,"Patent applications, nonresidents","IP.PAT.NRES",42
"129","Kenya","KEN",2017,"Patent applications, nonresidents","IP.PAT.NRES",43
"130","Kenya","KEN",2016,"Patent applications, nonresidents","IP.PAT.NRES",59
"131","Kenya","KEN",2015,"Patent applications, nonresidents","IP.PAT.NRES",56
"132","Kenya","KEN",2014,"Patent applications, nonresidents","IP.PAT.NRES",75
"133","Kenya","KEN",2013,"Patent applications, nonresidents","IP.PAT.NRES",114
"134","Kenya","KEN",2012,"Patent applications, nonresidents","IP.PAT.NRES",136
"135","Kenya","KEN",2011,"Patent applications, nonresidents","IP.PAT.NRES",122
"136","Kenya","KEN",2010,"Patent applications, nonresidents","IP.PAT.NRES",120
"137","Kenya","KEN",2009,"Patent applications, nonresidents","IP.PAT.NRES",123
"138","Kenya","KEN",2008,"Patent applications, nonresidents","IP.PAT.NRES",89
"139","Kenya","KEN",2007,"Patent applications, nonresidents","IP.PAT.NRES",91
"140","Kenya","KEN",2006,"Patent applications, nonresidents","IP.PAT.NRES",41
"141","Kenya","KEN",2005,"Patent applications, nonresidents","IP.PAT.NRES",59
"142","Kenya","KEN",2004,"Patent applications, nonresidents","IP.PAT.NRES",53
"143","Kenya","KEN",2003,"Patent applications, nonresidents","IP.PAT.NRES",73
"144","Kenya","KEN",2002,"Patent applications, nonresidents","IP.PAT.NRES",49
"145","Kenya","KEN",1999,"Patent applications, nonresidents","IP.PAT.NRES",30
"146","Kenya","KEN",1998,"Patent applications, nonresidents","IP.PAT.NRES",34
"147","Kenya","KEN",1997,"Patent applications, nonresidents","IP.PAT.NRES",40
"148","Kenya","KEN",1996,"Patent applications, nonresidents","IP.PAT.NRES",38
"149","Kenya","KEN",1993,"Patent applications, nonresidents","IP.PAT.NRES",37
